requirement_id,phase_id,source_finding,behavior,authority_and_identity,implementation_owner,test_owner,test_level,pass_formula,checker_requirement,evidence_schema_or_path,status
"SURFACE-01","P5-repository-closure","P0 current-tree inventory; duplicated config/runtime/schema names and historical active surfaces","Every tracked active product path has an explicit retain-current, rename-current, or delete-obsolete disposition and the final active graph contains only the current protocol surface","Git tracked tree plus package/import/caller graph at the final source fingerprint; immutable archives are excluded and cannot be active callers","repository-wide active scopes including all scripts and non-archived product plans/docs","tests/architecture/test_current_protocol_surface.py; independent inventory producer","architecture+static","unknown_dispositions==0 && obsolete_active_paths==0 && obsolete_import_edges==0 && current_allowlist_matches_git_package_and_call_graph","surface.current_only","schema:current_surface_inventory@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p5-current-surface_pass.json","planned"
"LEGACY-DEL-01","P3-runtime-and-tools-current-only","fs_diloco/legacy; fragment analysis/metrics; config migration CLI; compatibility shims; cleanup and filesystem fallbacks","No active writer, reader, entrypoint, config, DDL, fallback, fixture, or tool implements legacy, classic, fragment, or migration behavior","Current descriptor and fenced authority are the only run identity/read boundary; old inputs have no authority and fail generic current validation","fs_diloco/legacy; fs_diloco/tools; fs_diloco/storage; pyproject.toml","current-only tool tests; architecture import/caller tests","unit+integration+architecture","legacy_modules==0 && fragment_producers_consumers==0 && migration_entrypoints==0 && compatibility_shims==0 && legacy_fallbacks==0","deletion.no_legacy_surface","schema:current_surface_inventory@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p3-legacy-deletion_pass.json","planned"
"CONFIG-01","P1-current-config-and-identity","core/config.py and core/config_v4.py overlap; ConfigProfile removed-key migration and resolver/CLI/PBS/env semantic overrides form multiple configuration paths; repository YAML embeds one developer absolute root; synthetic and WikiText inputs use magic-name/fallback aliases; dead flags and duplicate block-size authorities remain","Full Protocol YAML has exactly one direct strict Config schema and suffix-free load/resolve/serialize API with no profile alias old-key migration semantic override input fallback zero-owner field or duplicate semantic authority; model/data source kind is exactly hub or synthetic; current config schema is exact version 2 and repository templates contain no machine path","core.config strict decoder owns canonical config bytes CONFIG_SCHEMA_VERSION=2 and SHA-256; data.block_size solely owns sequence length; learner.proposal_dtype owns proposal serialization dtype; launcher alone binds explicit run/shared/source identity while expected identities are descriptor-derived assertions; actual loaders own source-kind projection","fs_diloco/core/config.py; modeling/data loaders; all Full config/launcher/PBS callers","tests/test_config.py split/renamed current config suite plus launcher/config/source-kind identity tests","pure+unit+property","full_loader_count==1 && config_schema_version==2 && accepted_config_versions=={2} && full_profiles==0 && semantic_resolve_overrides==0 && semantic_launch_env_overrides==0 && implicit_launch_identity_defaults==0 && zero_owner_config_fields==0 && duplicate_config_authorities==0 && io_section_absent && sequence_length_owner==data.block_size && proposal_dtype_owner==learner.proposal_dtype && source_kinds=={hub,synthetic} && synthetic_magic_aliases==0 && content_source_fallbacks==0 && old_key_maps==0 && repository_machine_paths==0 && canonical_roundtrip_pass && unknown_or_alias_inputs_rejected","config.single_current_loader","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p1-config_pass.json","planned"
"BASELINE-01","P1-current-config-and-identity","Torch baseline currently shares ConfigV4/profile and Full sync fields, exposes duplicate semantic CLI/env overrides, and retained real-data baseline YAML omit immutable Hub revisions","Torch baseline has one independent minimal exact-version-1 schema with run/model/data/training/inner_optimizer/distributed/wandb only; its CLI/env has no YAML-semantic overrides; neither loader accepts the other system's YAML and actual baseline model/tokenizer/dataset I/O consumes the pinned hub or synthetic identity","baselines.config.BaselineConfig owns baseline bytes and BASELINE_CONFIG_SCHEMA_VERSION=1; core.config.Config owns Full bytes; baseline training manifest and loaders bind the same immutable external identities","fs_diloco/baselines/config.py; fs_diloco/baselines/train.py; baseline PBS launcher; narrow shared modeling helpers; retained baseline YAML; remove Full baseline switch and baseline semantic overrides","baseline config shape/cross-rejection, CLI/env surface, source-kind identity, actual loader identity, baseline training regression, and 2-rank synthetic smoke tests","unit+integration+tiny","baseline_loader_count==1 && baseline_config_schema_version==1 && accepted_baseline_versions=={1} && baseline_full_only_sections==0 && baseline_semantic_cli_overrides==0 && baseline_semantic_env_overrides==0 && baseline_source_identity_explicit && baseline_source_kinds=={hub,synthetic} && full_accepts_baseline==false && baseline_accepts_full==false && retained_baselines_parse==true && retained_real_baselines_have_immutable_revisions==true && baseline_actual_loader_identity_mismatches==0 && tiny_2rank_baseline_terminal","config.baseline_isolated","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p6-baseline_pass.json","planned"
"IDENTITY-01","P1-current-config-and-identity","Descriptor stores protocol_version=4; config uses static/dynamic while descriptor and run identity use full_ha_static/full_ha_dynamic and full/full_dynamic; SHARED_ROOT alias exists","Product protocol has no generation selector and every Full runtime projection uses exactly static or dynamic; baseline mode remains a separate type; only FS_DILOCO_SHARED_ROOT is accepted; descriptor format is exact version 3","Immutable descriptor digest plus exact config/schema/artifact identities; topology enum has one spelling across config descriptor authority run identity bootstrap attestation result artifact and harness","fs_diloco/core/run_descriptor.py; fs_diloco/core/versions.py; initializer run identity/bootstrap/attestation/artifact writers and callers","cross-projection topology identity plus synthesized non-current mismatch and subprocess environment tests","unit+integration","protocol_generation_fields==0 && run_descriptor_format_version==3 && accepted_descriptor_versions=={3} && full_topology_spellings=={static,dynamic} && noncanonical_full_topology_values==0 && shared_root_envs=={FS_DILOCO_SHARED_ROOT} && mismatch_counterexamples_rejected","identity.no_protocol_generation","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p1-identity_pass.json","planned"
"STORAGE-01","P2-current-storage-layout","schema_v4 files FSD4 SQLite application ID initialize_authority_v4 V4ControlPublisher generation/bootstrap/admission names plus duplicate resolved config and misleading syncer DB/manual-close paths remain current","Fresh static/dynamic authority uses only suffix-free schema application ID symbols and one canonical DB marker config and manual-close path and never probes or writes old paths; same-current-identity initializer crash replay remains safe; authority schema is exact 10 and control format exact 3","Initializer owns create-no-replace DDL marker single resolved config exact FSDL application ID and identity-reservation recovery; leader/session owns fenced mutations; exact schema/control version and DDL digest remain authoritative","fs_diloco/storage; runtime/service/tool callers; artifact policy; package data","storage schema/application-ID/path uniqueness/initializer-crash/control/publication tests","unit+SQLite+architecture","authority_schema_version==10 && accepted_authority_versions=={10} && authority_application_id==0x4653444C && accepted_application_ids=={0x4653444C} && control_format_version==3 && accepted_control_versions=={3} && schema_files=={schema.sql,schema_dynamic.sql} && packaged_schema_files_match && canonical_authority_db_count==1 && canonical_bootstrap_marker_count==1 && resolved_config_copies==1 && suffix_v4_storage_symbols==0 && old_path_reads_writes==0 && current_initializer_crash_replay_pass && static_dynamic_fresh_tests_pass","storage.suffix_free_fresh_only","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p2-storage_pass.json","planned"
"RUNTIME-01","P3-runtime-and-tools-current-only","runtime/learner_v4.py, runtime/syncer_v4.py, run_v4_allocation.sh, and the redundant main.py/fs_diloco.cli dispatcher are current paths","Learner, syncer, allocation script, console modules, and callers use only suffix-free runtime names while preserving the Torch-free pre-admission boundary; each operation has one recommended direct console entry","Descriptor/source/admission identity gates precede Torch import; fenced leader remains sole runtime writer","fs_diloco/runtime; fs_diloco/learner.py; fs_diloco/syncer.py; remove main.py/fs_diloco.cli; scripts/miyabi/run_allocation.sh","runtime startup/admission/import-trace and console manifest tests","unit+subprocess+integration","old_runtime_modules==0 && redundant_dispatchers==0 && current_runtime_imports==1_path_per_actor && torch_import_before_gate==0 && runtime_focused_tests_pass","runtime.single_current_path","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p3-runtime_pass.json","planned"
"TOOLS-01","P3-runtime-and-tools-current-only","analysis, metrics, eval, validation, quality, and cleanup import legacy readers or contain fragment/policy fallbacks; two local cleanup scripts bypass current authority","Operational tools consume only a current descriptor, current authority/artifacts, and current artifact policy; malformed or incomplete current identity fails closed; unsafe name/extension-based local deletion tools do not exist","Immutable descriptor/config/source digest is read authority; cleanup additionally requires terminal evidence, policy digest, and live-reference ownership","fs_diloco/tools; fs_diloco/storage/paths.py; scripts/local","current inspect/export/eval/quality/cleanup positive and negative tests","unit+integration","legacy_tool_imports==0 && fragment_queries==0 && hardcoded_run_fallbacks==0 && cleanup_policy_overrides==0 && unsafe_local_cleanup_scripts==0 && current_tool_tests_pass","tools.current_inputs_only","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p3-tools_pass.json","planned"
"TEST-01","P4-tests-configs-and-harnesses","legacy/fragment tests, classic/static historical golden, v4 and phase-numbered suites, and migration cases remain","Tests and fixtures describe only current protocol behavior; every retained shared invariant is owned by a behavior-named current test and obsolete tests/fixtures are deleted","Current typed config/schema/artifact and durable authority state are test oracles; archive outputs are not oracles","tests; tests/fixtures; tests/support","current-domain unit/property/state-machine/integration suites","test-suite+architecture","obsolete_test_paths==0 && obsolete_fixtures==0 && migration_cases==0 && retained_invariants_have_current_owner && unexpected_skip_xfail==0","tests.current_behavior_only","schema:current_protocol_test_gate@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p4-tests_pass.json","planned"
"HARNESS-01","P4-tests-configs-and-harnesses","Plan01/Plan03 checkers, PBS files, Python harnesses, requirement constants, markers, archive-tag comparisons, and a baseline health compatibility wrapper are active","No active harness or test is plan/phase-generation specific and no pass-through compatibility wrapper remains; retained fault and acceptance oracles use minimal behavior-named harnesses and generic evidence schema","Harness binds exact source/config/full-and-normalized-PBS/run identities and reads durable product state; plan matrix identity stays outside product source","scripts; tests/gates; pyproject.toml; production PLAN03_REQUIREMENTS constants","generic harness unit tests covering CLI, source/package, PBS identity, schema, terminal, timeout, cleanup, classification, and active-surface architecture","static+unit+harness","plan01_plan03_active_paths==0 && pass_through_compatibility_wrappers==0 && historical_requirement_constants==0 && historical_markers==0 && archive_tag_callers==0 && retained_harness_tests_pass","harness.no_historical_identity","schema:current_surface_inventory@1; reports/DOING/fsb_decoupled_diloco_plan_04_current_protocol_cleanup/artifacts/<timestamp>_p4-harness_pass.json","planned"
