requirement_id,outcome,verification,evidence,status
P05-R01,"Config and run descriptor expose only stream_pool_size/bootstrap_slots; old fields and old run roots are rejected","strict parser tests; initializer recovery tests; config/descriptor inspection","pending",pending
P05-R02,"ContributorFence and MembershipScope are the sole protocol types and all embedded wire formats use their new strict versions without kind","protocol tests; version assertions; repository search","pending",pending
P05-R03,"Authority uses one merged schema and one instance/placement/stream admission model with no static tables, mode metadata, fence_kind, or dynamic-disambiguated API","schema tests; authority transaction tests; DDL inspection; surface search","pending",pending
P05-R04,"Learner and syncer always use admission/current-fence validation; replacement advances stream incarnation and stale ownership is rejected","focused runtime/admission/terminal/capacity tests; independent replacement harness","pending",pending
P05-R05,"Launchers, PBS scripts, analysis, summaries, artifact policy, and Checker expose only neutral full-protocol behavior and bind scheduler evidence to independent replacement","tool/harness tests; bash syntax; checker artifacts","pending",pending
P05-R06,"Current configs and experiment04 use the unique protocol with fixed-capacity control and authorized scaling scenario; obsolete config/script copies are absent","config load tests; harness tests; path/search audit","pending",pending
P05-R07,"Current README, website, generated API reference, package data, validation index, and module coverage consistently describe only the unique protocol","generation diff; docs build/static checks; repository search","pending",pending
P05-R08,"Static checks, focused tests, full suite, and unique-protocol harness pass on one clean candidate","logs bound to FINAL_COMMON_TARGET","pending",pending
P05-R09,"PREFORMAL current-state review covers all formal source scopes and closes every blocking finding before expensive runs","review packet, reviewer results, coordinator disposition","pending",pending
P05-R10,"Fresh no-failure, failure/no-replacement, and failure/authorized-replacement experiments satisfy preregistered durable oracles and baseline comparison rules on one target","formal scenario artifacts and unified comparison","pending",pending
P05-R11,"The updated GPT-2/WikiText-2 config completes one normal run with 8 independent learner jobs plus 1 syncer job for 200 local x 10 global steps","PBS scheduler records, run manifest, checker, terminal authority and ledger artifacts","pending",pending
P05-R12,"FINAL evidence review proves all requirements on one clean target, no owned jobs remain, and plan/report are archived without altering historical evidence","formal manifest; final review; qstat/cleanup record; archive commit","pending",pending
