requirement_id,outcome,verification,evidence,status
PKG-01,"独立 experiment04 包通过一行命令提交两种 baseline 和七个 Full Protocol 场景，且只保留当前配置与入口","静态 launcher/config 检查、focused harness 与 repository-wide obsolete 引用搜索","tests/harness/test_plan04_experiment.py; reports/DOING/code_review/gpt-5_d0acc5f9f95cb3d3885baf947319b93d84caeff1_260812-2101.md",verified
BASELINE-01,"8-rank GPT-2/WikiText-2 DDP 运行 5,000 steps，periodic-average 运行 200×25，并各自产生健康终态与 summary","两个正式 baseline job 的 health、scheduler history、run artifacts 和 runs/summary.csv","runs/torch_ddp_baselines/20260812_214048_torch_ddp_gpt2_wikitext2_8n_5000; runs/torch_ddp_baselines/20260812_214048_torch_periodic_average_gpt2_wikitext2_8n_5000; runs/summary.csv",verified
TOPO-01,"每个 Full Protocol 场景提交八个独立 scalar learner job 与一个 syncer；双 syncer 场景提交第二个 syncer","submission receipt、actor attestations、scheduler history","七项正式 experiment artifacts 和 runs/summary.csv",verified
WORK-01,"Full Protocol 使用 200 local steps、25 global steps、八个 stream 和每个 version 恰好四个 update","resolved config、terminal authority、logical archived updates/versions","tests/harness/test_plan04_experiment.py; 七项正式 run authority",verified
NORMAL-01,"八个同时提交的 learner 与一个 syncer 训练到 version 25 并正常终止","Experiment 1 create-only artifact、terminal authority 和 summary row","reports/DOING/plan04/artifacts/20260812_220108_e1_normal.json; runs/summary.csv",verified
STAGGER-01,"4+4 与 3+3+2 保持 30 秒批次边界；仅三个 learner 时 global version 不推进；两者最终完成","Experiments 2/3 timeline、pre-quorum observation 与 terminal artifacts","reports/DOING/plan04/artifacts/20260812_223229_e2_stagger_4_4.json; reports/DOING/plan04/artifacts/20260812_224411_e3_stagger_3_3_2.json",verified
LEARNER-FAULT-01,"同时与 4+4 场景在 60 秒删除一个 admitted learner；训练最终由 Syncer 正常结束于 version 25，且 loss < 3.5","Experiments 4/5 qdel receipt、最终 Syncer scheduler history、terminal version 和 summary loss","reports/DOING/plan04/artifacts/20260812_233703_e4_learner_failure_simultaneous.json; reports/DOING/plan04/artifacts/20260813_000324_e5_learner_failure_staggered.json; runs/summary.csv",verified
SYNCER-FAULT-01,"60 秒删除 primary syncer，30 秒后 successor 接管；最终 Syncer 正常退出于 version 25，且 loss < 3.5","Experiment 6 qdel receipt、最终 Syncer scheduler history、terminal version 和 summary loss","reports/DOING/plan04/artifacts/20260813_002004_e6_syncer_failure.json; runs/summary.csv",verified
DUAL-SYNCER-01,"30 秒启动第二个 syncer；重叠 30 秒后删除 primary，候选接管并正常完成 version 25，且 loss < 3.5","Experiment 7 overlap timeline、最终 Syncer scheduler history、terminal version 和 summary loss","reports/DOING/plan04/artifacts/20260813_003704_e7_dual_syncer.json; runs/summary.csv",verified
METRICS-01,"所有完成 run 追加到统一 summary；记录 normal 与两种 baseline 的 loss 和训练时间差异","runs/summary.csv 与 normal create-only comparison artifact","runs/summary.csv; reports/DOING/plan04/artifacts/20260812_220108_e1_normal_comparison.json",verified
CLEANUP-01,"正式终态中存活 syncer 作用域只保留最新 model weight，且所有 owned job 均进入 scheduler terminal state","authority weight path oracle、artifact GC evidence、scheduler history 与 qstat","tests/runtime/test_syncer_composition.py; tests/harness/test_plan04_experiment.py; 七项正式 run authority; qstat",verified
ACCEPT-01,"每项 Full Protocol 实验只在最终 Syncer 正常退出、达到 global version 25 且最终平均 loss < 3.5 时通过；其他检查仅用于诊断","PBS historical exit status、terminal authority 和 runs/summary.csv","tests/harness/test_plan04_experiment.py; reports/DOING/plan04/progress.md; 七项正式 run",verified
FINAL-01,"实现、测试、配置、脚本和文档一致；正式 manifest 记录 source lineage、功能等价范围和全部有效实验结果，且无 unfinished job","PREFORMAL review、clean full tests、formal manifest、FINAL evidence audit、repository-wide cleanup search 和 qstat","reports/DOING/plan04/formal_manifest.json; reports/DOING/code_review/gpt-5_319081c8d57411a3e1b8ee724c82f810f25a3228_260813-0103.md; reports/DOING/plan04/artifacts/validation_319081c.json",verified
