"requirement_id","phase","requirement","implementation_contract","test_contract","gate","artifact_contract","status","evidence_path"
"FEAS-01","Phase 0","确认同一共享 SQLite 的 writer-lock 暂停与释放边界","独立 writer-lock probe 和 supervisor","BEGIN IMMEDIATE 后 SIGSTOP；第二进程 acquire；kill 后恢复；integrity 检查","Phase 0","phase0-feasibility JSON 的 sqlite_writer_lock 证据","complete","reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-095900_phase0-feasibility_pass.json"
"FEAS-02","Phase 0","证明旧进程可覆盖固定 cache 但 reader 仍采用当前 epoch canonical","epoch-scoped canonical reader 与故障注入探针","lease check 后暂停；new epoch 发布；old 恢复覆盖 latest stop summary；reader 与 repair 检查","Phase 0","phase0-feasibility JSON 的 old_cache_writer 证据","complete","reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-095900_phase0-feasibility_pass.json"
"FEAS-03","Phase 0","冻结跨节点时钟和共享 SQLite 能力边界","扩展现有 shared-SQLite probe 的 contend 模式","双节点 clock skew；commit/reopen；N进程 acquire renew争抢；busy等待与starvation；PRAGMA 与 integrity","Phase 0","phase0-feasibility JSON 的 clock_sqlite 证据","complete","reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-095900_phase0-feasibility_pass.json"
"FEAS-04","Phase 0","确认 compute node 的 qsub qstat job fingerprint 与 job array 能力","PBS capability probe 和 scheduler field normalizer","queued prologue running finished unknown 状态；job ID 规范化；request fingerprint；array与manifest fallback","Phase 0","phase0-feasibility JSON 的 pbs_capability 证据","complete","reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-095900_phase0-feasibility_pass.json; historical cross-version fallback evidence: reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-011200_phase0-feasibility_pass.json"
"FEAS-05","Phase 0","source config protocol run descriptor mismatch 必须在业务写前失败","immutable source manifest、resolved config、run descriptor 和 pre-import gate","相同 identity 通过；commit dirty config descriptor protocol schema run ID 任一变化失败且无 leader 或 membership row","Phase 0","phase0-feasibility JSON 的 source_pinning 证据","complete","reports/DOING/fsb_decoupled_diloco_plan_02/artifacts/20260806-095900_phase0-feasibility_pass.json"
"HA-01","Phase 1","leader epoch 单调递增且不复用","syncer_leader singleton 与 syncer_epochs history","首次 acquire、并发 acquire、release、expiry、reopen、1000 次竞争","Phase 1","lease test report 与 epoch history snapshot","planned","TBD"
"HA-02","Phase 1","successor epoch 提交后旧 token 不能提交业务 transaction","FencedSQLiteStore 在 transaction 内校验 epoch owner","stale global commit、update transition、controller 和 maintenance write 全部回滚","Phase 1","fence test report 与 stale-write event scan","planned","TBD"
"HA-03","Phase 1","HA full全部mutator只经fenced transaction提交","Legacy Fenced ReadOnly store分离并封闭raw connection","31-method inventory；25个autocommit迁移；API AST审查；raw execute逃逸；fragment逐字节回归","Phase 1","mutator inventory 与 API review artifact","planned","TBD"
"HA-04","Phase 1","committed global version 唯一连续并记录 writer与checkpoint identity","global_versions保存epoch owner publication ID size和可选digest；digest默认off","并发 predecessor；duplicate version；resume N到N+1；publication collision；off checker always三种digest模式","Phase 1","version-to-epoch manifest","planned","TBD"
"HA-05","Phase 1","checkpoint和canonical control按epoch隔离且扫描不静默为空","epoch owner目录与共享RunPaths递归iterator","两epoch同版本；control collision；maintenance Checker probe liveness analysis metrics扫描非空","Phase 1","control publication manifest 与 discovery inventory","planned","TBD"
"HA-06","Phase 1","固定 latest stop summary 非权威且污染不影响采用","highest-epoch reader 和 best-effort cache repair","old latest stop summary 覆盖反例；reader 不回退；repair 恢复","Phase 1","cache pollution and adoption report","planned","TBD"
"HA-07","Phase 1","takeover 从 DB current row 恢复并提交 N+1","DB-first resume loader 和 current epoch republisher","checkpoint 完成窗口、DB commit 窗口、control publish 窗口的 crash matrix","Phase 1","resume continuity artifact","planned","TBD"
"HA-08","Phase 1","DB commit 后 control publish 前崩溃可修复","根据DB path size与control checksum重建canonical artifact","每个publish failpoint后由successor重建；off模式不要求checkpoint hash","Phase 1","publication recovery report","planned","TBD"
"HA-09","Phase 1","heartbeat与模型latest分离且watchdog理解recovery","epoch heartbeat seq、monotonic水位、claim scheduler和canonical repair窗口","只renew不merge；claim排队超过旧600秒；lower-epoch stop；repair超窗不误退出","Phase 1","heartbeat watchdog recovery trace","planned","TBD"
"HA-10","Phase 1","expired owner 不能开始新业务 transaction 或 renew","lease start boundary 与 exact-owner renew predicate","late renew、expiry 后新 write、旧 owner SIGCONT","Phase 1","lease expiry fault report","planned","TBD"
"HA-11","Phase 1","writer transaction 内暂停阻塞接管但不产生双 writer","同 SQLite BEGIN IMMEDIATE serialization 和明确 blocker","transaction 外与内 SIGSTOP 对照；kill 后接管；双 writer 数为零","Phase 1","writer-lock boundary report","planned","TBD"
"HA-12","Phase 1","旧epoch不能覆盖或GC当前artifact且learner不创建authority目录","epoch publication ID路径、authority/instance目录拆分、gc ledger与逐项fence","old checkpoint/control恢复；GC循环中暂停；new current不变；预期orphan实际删除；learner目录权限","Phase 1","old-writer and GC isolation manifest","planned","TBD"
"HA-13","Phase 1","claim 与 qsub 不授予 leadership","candidate 仍必须通过 LeaderLeaseStore acquire","多个 physical candidate 同时启动只有一个业务 writer","Phase 1","candidate-to-epoch map","planned","TBD"
"HA-14","Phase 1","同 observation attempt 只有一个 mkdir winner","deterministic observation key 与 atomic attempt directory","8 learner 同时 claim、相邻 attempt race、重放同 key","Phase 1","claim concurrency artifact","planned","TBD"
"HA-15","Phase 1","recovery submission有reconciliation backoff预算且scheduler job不被TTL误释放","shared claim state、qstat reconciliation、uncertainty TTL、指数backoff和persistent reserved","queued prologue running超过TTL；qsub receipt crash；unknown scheduler；attempt budget","Phase 1","recovery submission history","planned","TBD"
"HA-16","Phase 1","source config run descriptor mismatch actor不能acquire或写业务状态","bootstrap marker、run descriptor与PBS pre-import identity gate","candidate commit config dirty descriptor protocol schema mismatch","Phase 1","source-gate rejection logs","planned","TBD"
"HA-17","Phase 1","candidate 与 epoch log metrics 各自单 writer","owner-scoped candidate log 和 epoch-scoped syncer outputs","loser candidate、takeover、old process 恢复的并发 append 检查","Phase 1","log writer ownership inventory","planned","TBD"
"HA-18","Phase 1","受控DDL且pre-HA incomplete bootstrap fragment HA fail closed","init open-existing open-readonly三入口、schema_meta与run_state双版本、artifact独立版本","new run双版本；incomplete bootstrap；legacy full HA；fragment HA；read-only open不建表","Phase 1","bootstrap and compatibility report","planned","TBD"
