requirement_id,phase,plan_source,current_design_requirement,verification,required_evidence,status
"SURFACE-01","P1-current-protocol","目的;过程4","The only runnable filesystem Decoupled DiLoCo product is named Full Protocol; product modules, public types, config entry points, schema files, durable run paths, protocol labels, CLI help, tests, and current documentation contain no v4 generation suffix.","Repository-wide tracked-source scan plus import/CLI/config/schema/path tests.","reports/DOING/plan03-1/artifacts/20260811-000200_r2-preformal-current-state_review.json","complete"
"CONFIG-01","P1-current-protocol","过程2;过程4","One strict Config type and load_config/resolve_config/write_resolved_config API own the complete Full Protocol configuration. Shared-envelope projection, profiles, migration helpers, aliases, and old key fallbacks do not exist.","Focused config parser/resolver tests cover valid static/dynamic configs and unknown/removed inputs.","reports/DOING/plan03-1/artifacts/20260811-000200_r2-preformal-current-state_review.json","complete"
"SCHEMA-01","P1-current-protocol","目的;过程4","Fresh static and dynamic runs use unversioned schema.sql and schema_dynamic.sql with one current authority initializer and bootstrap marker/layout.","DDL bootstrap and identity tests for both membership modes; repository scan rejects versioned schema and run paths.","reports/DOING/plan03-1/artifacts/20260811-000200_r2-preformal-current-state_review.json","complete"
"CLEAN-01","P1-current-protocol","过程3;最简设计原则","Legacy readers/configs, migration paths, second runnable baselines, superseded evidence utilities, dead wrappers, unused dependencies, stale scripts/configs/docs, and compatibility-only branches are deleted.","Tracked-file and import graph scan; package entry-point resolution tests; ruff unused/dead-surface checks.","reports/DOING/plan03-1/artifacts/20260811-000200_r2-preformal-current-state_review.json","complete"
"ARCH-01","P1-current-protocol","过程1;过程5","The retained Full Protocol has one dependency direction and one writer for configuration, descriptor, authority, admission/control, learner, syncer, merge/publication, terminal, and cleanup behavior.","Architecture boundary tests and full current-state review.","reports/DOING/plan03-1/artifacts/20260811-000200_r2-preformal-current-state_review.json","complete"
"UNIT-01","P2-tests-and-harness","过程6","Every retained module has a focused unit or static contract test at its public behavior boundary; tests describe only the current design.","Requirement-to-test inventory reports every retained module as covered or justified data-only; complete suite passes on one compute node.","reports/DOING/plan03-1/artifacts/20260810-235300_final-u1-one-node-validation.json","complete"
"HARNESS-01","P2-tests-and-harness","过程7;workflow 7.2","The integration harness has independently tested argument parsing, source/config/PBS identity, artifact schema/result projection, expected failure classification, terminal authority oracles, and cleanup dry-run before any multi-node run.","Focused harness unit tests plus test-design review.","reports/DOING/plan03-1/artifacts/20260810-235300_final-u1-one-node-validation.json","complete"
"FUNC-4L1S-01","P3-functional-faults","过程7","A real 4 learner + 1 syncer Full Protocol run proves initialization, admission, training, receipt/proposal ingest, selection, merge/publication, adoption, exact token accounting, terminal drain, and integrity.","Five-node structured checker validates durable SQLite authority, immutable publications, four contributor identities, exact workload, terminal acknowledgements, ledger balance zero, and integrity_check=ok.","reports/DOING/plan03-1/artifacts/20260810-235500_final-f1-functional-normal_result.json","complete"
"FAULT-4L1S-01","P3-functional-faults","过程7","The reviewed 4+1 scenarios prove the implemented node-state fault boundaries: learner process replacement is fenced and makes progress, and syncer leader failure/takeover preserves a single durable writer without duplicate merge/publication.","Pre-registered process/PBS fault injection; successor fence/epoch and authority rows are durable oracles; exit codes and logs are diagnostic only.","reports/DOING/plan03-1/artifacts/20260810-235800_final-f1-learner-replacement_result.json; reports/DOING/plan03-1/artifacts/20260810-235900_final-f1-syncer-takeover_result.json","complete"
"FORMAL-8L1S-01","P4-formal-and-docs","过程8","One clean frozen commit completes a Miyabi 8 learner + 1 syncer experiment with exactly 50 local optimizer steps per learner cycle and exactly 10 committed global steps.","Nine-node checker validates topology, resolved workload, ten committed successors, contributor participation, processed/direct-token accounting, terminal state, immutable object hashes, source fingerprint, and SQLite integrity.","reports/DOING/plan03-1/artifacts/20260811-000100_final-g1-formal-8l1s_result.json","complete"
"DOCS-01","P4-formal-and-docs","过程9","README and docs describe only the retained unversioned implementation, config, paths, commands, testing, operations, and verified 9-node result; all links and named files exist.","Documentation path/link/name scan plus final evidence review.","reports/DOING/plan03-1/artifacts/20260811-011000_r3-final-evidence_review.json","complete"
"FINAL-01","P4-formal-and-docs","workflow 14;16","The requirement matrix is 100% bound to same-target evidence, all blocking findings are closed, artifacts are evidence-bound and cleaned, and plan/report are archived with an evidence-path mapping.","Completed checker plus plan-complete current-state and final-evidence reviews.","reports/DOING/plan03-1/formal-ladder-manifest.json","pending"
