"requirement_id","phase","review_finding","requirement","implementation_contract","test_contract","gate","artifact_contract","status","evidence_path"
"TRI-01","Phase 0","全部","对 9 High / 15 Medium / 10 架构 / 6 文档条目逐条判定归属","在 requirement matrix 与 progress.md 中标记 reproduced / rejected-with-evidence / deferred-with-justification","每条判定引用 file:line 或测试名；High 条目不得停留在未判定","Phase 0","phase0-triage JSON 的 finding_verdicts 段","pending","TBD"
"TRI-02","Phase 0","H-01","建立动态成员 livelock 的确定性复现","in-memory / 临时目录状态机驱动 revoke→replacement→merge 循环","A(step 100) revoke → B(step 1) 同 stream replacement；断言 <=2 轮内选中 B 并前进；当前代码必须失败","Phase 0","tests/test_plan03_membership_liveness.py 的 RED 记录","pending","TBD"
"TRI-03","Phase 0","H-02","建立 mid-cycle replace token 归属的复现","两步 interval：step1 后 replace，step2 后 publish","断言参数只受 step2 影响、weight 只等于 step2 token、step1 计入 discarded；当前代码必须失败","Phase 0","tests/test_plan03_token_accounting.py 的 RED 记录","pending","TBD"
"TRI-04","Phase 0","H-03","建立摄取唯一键冲突丢失 pending 的复现","构造同唯一键不同 update_id 的 pointer 替换","断言合法 pending 不丢失且 frontier 不违规；当前代码必须失败","Phase 0","tests/test_plan03_ingest_conflict.py 的 RED 记录","pending","TBD"
"TRI-05","Phase 0","H-05","建立 contributor 饥饿的复现与上限冻结","stream_pool_size=12 / quorum_max=8 的 200 版本确定性模拟","记录 per-contributor selection 次数与最大等待版本数并冻结上限；当前代码必须失败","Phase 0","tests/test_plan03_selection_fairness.py 的 RED 记录与冻结上限","pending","TBD"
"TRI-06","Phase 0","H-06","建立共享 FS 瞬态错误被当作永久失败的复现","可注入 FS adapter 对 pointer/payload/registration 注入单次 ENOENT/ESTALE/EIO","断言单次瞬态错误不产生 drop 或 registration unlink；当前代码必须失败","Phase 0","tests/test_plan03_read_result.py 的 RED 记录","pending","TBD"
"TRI-07","Phase 0","A-08","建立确定性状态机与 fault tape 底座","fs_diloco/testing/ 的虚拟时钟、fault tape、in-memory object store/scheduler、状态机驱动器","同一 tape 两次执行的 selection 序列与 event lineage 逐条相同","Phase 0","compare_event_traces 输出与 tape 文件","pending","TBD"
"TRI-08","Phase 0","H-08 / H-09","冻结修复前的测量基线","记录当前 total_seen_tokens 与 processed token 的差值样本、matched 历史数字的重算或不可重算结论、selection 分布快照","基线数值可被 Phase 1 引用并解释变化","Phase 0","phase0-triage JSON 的 measurement_baseline 段","pending","TBD"
"TRI-09","Phase 0","审查方法限制","在目标 commit 上实跑既有测试与 Checker","全量 pytest 与 Plan 01/02 checker 实跑","记录实际通过数与 checker 结果；既有失败必须成为 finding","Phase 0","phase0-triage JSON 的 baseline_test_run 段","pending","TBD"
"COR-01","Phase 1","H-01","dynamic eligible 集合只包含 current incarnation 的 pending proposal","eligible_updates 增加 membership_scope=current_members 并 join learner_instances/placements/streams；dynamic proposal source 强制使用","旧 incarnation pending 不出现在 eligible；static/fragment 路径逐字节回归","Phase 1","phase1 JSON 的 eligible_membership_scope 证据","pending","TBD"
"COR-02","Phase 1","H-01","revoke / supersede 与旧 proposal 终结处于同一事务","revoke_dead_instances、drain timeout revoke、authorized replacement supersede 内追加 dropped(revoked_incarnation) 并写 token_ledger","revoke 后该 incarnation 无 pending/selected；被丢弃 token 进入 ledger；返回值列出 update ID","Phase 1","phase1 JSON 的 revoked_incarnation_updates 段","pending","TBD"
"COR-03","Phase 1","H-01","fence retry 逐行裁决且有界步前进","DynamicMembershipFenceError 携带 per-update 拒绝原因；新增 adjudicate_selected_membership；syncer 改用该方法","单个失效 row 不导致其他合法 proposal 回滚；连续 retry <= 批次大小；存在 quorum 时 <=2 轮前进","Phase 1","phase1 JSON 的 membership_fence_metrics 段","pending","TBD"
"COR-04","Phase 1","H-02","interval 拆分为 processed / effective / discarded 段账","learner 拆分 interval 与 segment accumulator；replace 关闭 segment；rebase/predict 各自归属契约","replace 在第 1/中间/最后一步；multi-segment；processed=effective+discarded 逐 proposal 成立","Phase 1","phase1 JSON 的 segment_accounting 段","pending","TBD"
"COR-05","Phase 1","H-02","merge weight 只由 effective token 决定","proposal 新增段账字段；schema v4 增列与 CHECK；tokens_this_update 写入 effective 值","被覆盖计算的 merge 权重为 0；CHECK 拒绝矛盾行","Phase 1","phase1 JSON 的 merge_weight_semantics 段","pending","TBD"
"COR-06","Phase 1","H-03","摄取事务顺序为 validate→insert→adjudicate→supersede→frontier","普通 INSERT + IntegrityError 裁决；exact replay 幂等；语义冲突进 proposal_quarantine；fragment 同规则","1000 次冲突注入中合法 pending 丢失为 0、frontier 违规为 0、replay 幂等率 100%","Phase 1","phase1 JSON 的 ingest_conflict_matrix 段","pending","TBD"
"COR-07","Phase 1","H-04","建立版本化严格 schema 与 canonical path 推导","fs_diloco/protocol/schemas/ 的 frozen dataclass；权威 artifact 拒绝未知字段；path 由 identity 推导并拒绝 symlink/逃逸","每个 schema 规则有反例测试；format_version 迁移规则有测试","Phase 1","phase1 JSON 的 schema_rejection_matrix 段","pending","TBD"
"COR-08","Phase 1","H-04","数值域与权重有限性强制","逐项 math.isfinite 且 >0；math.fsum；updates/fragment_updates 的 CHECK 约束","负值/NaN/极大值/越界 step 区间/未来时间戳全部被拒绝","Phase 1","phase1 JSON 的 numeric_domain 段","pending","TBD"
"COR-09","Phase 1","H-05","两阶段 selection 与 contributor 公平性","fs_diloco/protocol/selection.py 的 fairness_policy；selection_ledger 与 streams/learners 公平性列","1000 版本长跑：max wait <= 冻结上限、rate 偏差 <=10%、Jain >=0.9；四策略确定性可重放","Phase 1","phase1 JSON 的 selection_fairness 段","pending","TBD"
"COR-10","Phase 1","H-06","结构化 ReadResult 与 visibility grace","fs_diloco/storage/read_result.py；payload_observations 表；quarantine 保留原字节；registration 不因单次 OSError 删除","ENOENT/ESTALE/EIO 各 100 次注入误 drop 为 0；持续失败在 grace 后确定性 drop","Phase 1","phase1 JSON 的 read_result_matrix 段","pending","TBD"
"COR-11","Phase 1","H-08","建立权威 token/compute ledger 与指标本体","token_ledger 表与十项权威计数；total_seen_tokens 重命名为 selected_proposal_tokens_committed；停止条件改名为 stop_after_effective_tokens_applied","全 run 对账差严格为 0；停止条件语义有测试；旧配置字段 fail closed","Phase 1","phase1 JSON 的 token_ledger_reconciliation 段","pending","TBD"
"COR-12","Phase 1","H-08","telemetry 降级且不作为门禁分母","CSV/JSONL 增加 completeness_level；checker 只接受 authoritative_export；run_metrics_csv fallback 标记降级等级","CSV 丢失/截断/行交错不改变 authority summary","Phase 1","phase1 JSON 的 telemetry_completeness 段","pending","TBD"
"COR-13","Phase 1","H-09","matched 比较改为 workload equivalence + signed comparison","workload_equivalence.py 与 matched_comparison.py 替换 clipped ratio 门禁","signed 负差不截断；不等价即 INCOMPARABLE；3 次重复与 95% CI；|ratio|>0.20 一律 INCOMPARABLE","Phase 1","matched comparability artifact（与 run descriptor 绑定）","pending","TBD"
"COR-14","Phase 1","M-01","进程内 timeout 使用 monotonic clock","no_progress_timed_out 及所有进程内停滞判定改用 time.monotonic；wall clock 仅用于跨进程 lease 与审计","wall clock ±3600s 跳变不改变进程内 timeout 判定","Phase 1","phase1 JSON 的 clock_semantics 段","pending","TBD"
"COR-15","Phase 1","M-10","selection age key 定义唯一且跨 incarnation 可比","oldest_pending 以 committed_at 为主键；dynamic preference 先比较 current epoch 一致性","age key 语义测试；跨 incarnation 比较不使用 local_step_end","Phase 1","phase1 JSON 的 selection_policy_semantics 段","pending","TBD"
"COR-16","Phase 1","回归","static full 与 fragment 的既有行为回归","不改变 legacy 路径数学、CLI 与结果（除显式改写的 token 语义）","legacy static full 逐字节回归；fragment 回归；v1-v3 run 的分析语义分支","Phase 1","phase1 JSON 的 compat_regression 段","pending","TBD"
"OPS-01","Phase 2","H-07","PBS 不确定性状态机与容量释放规则","持久化 first_scheduler_uncertain_at / last_positive_scheduler_evidence_at / uncertainty_deadline / terminal_evidence_source；统一状态机含 manual_review","qsub timeout、submission unknown、live no-record、historical lag、qstat outage、重复 job、zombie window 边界","Phase 2","phase2 JSON 的 scheduler_state_machine 段","pending","TBD"
"OPS-02","Phase 2","M-03","stream replacement 的数据连续性或重放计量","为每 stream 持久化确定性 global sample index 或 cursor+RNG state；否则精确记录 replayed_tokens_after_replacement","replacement 后重复样本数为 0 或与计量值相对误差为 0；固定 seed 可重复","Phase 2","phase2 JSON 的 stream_cursor_continuity 段","pending","TBD"
"OPS-03","Phase 2","M-04 / D-01","真正的 immutable object 发布","完整 UUID 或内容 hash；O_EXCL / link-based create-if-absent；目标已存在 fail closed","create-if-absent 冲突检出率 100%；静默覆盖为 0；文档表述与实现一致","Phase 2","phase2 JSON 的 immutable_publication 段","pending","TBD"
"OPS-04","Phase 2","M-05","init_run 幂等与半初始化修复","staging root + atomic finalize marker；identity-matched idempotent resume/repair","同 identity 可重复执行；不同 identity fail closed；半初始化有明确诊断","Phase 2","phase2 JSON 的 init_idempotence 段","pending","TBD"
"OPS-05","Phase 2","M-06","archive 去重契约","每批 archive 带 transaction/batch ID 与 row primary key；consumer 显式去重","crash 造成的重复 JSONL 不改变离线分析结论","Phase 2","phase2 JSON 的 archive_dedup 段","pending","TBD"
"OPS-06","Phase 2","M-07","CSV writer 纪律","per-process logs + 离线合并或单 writer；CSV 永不作为 authority","并发写入无行交错/截断；缺失不影响 authority summary","Phase 2","phase2 JSON 的 csv_writer_discipline 段","pending","TBD"
"OPS-07","Phase 2","M-08","配置的 runtime type/domain 校验","每 section 实现 validate()；覆盖 duration/count/enum 与跨字段不变量","YAML 弱类型与手工构造 Config() 均被校验；每条规则有反例","Phase 2","phase2 JSON 的 config_validation 段","pending","TBD"
"OPS-08","Phase 2","M-09 / A-10","schema 约束与显式迁移治理","补齐 CHECK/状态枚举/必要 FK；v3→v4 迁移工具与迁移前 invariant audit；禁止 live 在线迁移","迁移往返测试；audit 失败即中止；只读打开不触发 DDL","Phase 2","phase2 JSON 的 schema_migration 段","pending","TBD"
"OPS-09","Phase 2","M-11","control publication 幂等","deterministic command ID 与 publish ledger 记录 intent/result","同 epoch 同语义重试产生相同 artifact 与 hash","Phase 2","phase2 JSON 的 publication_idempotence 段","pending","TBD"
"OPS-10","Phase 2","M-12","lease acquire 在取锁后重采样时间","事务实际获得写锁后重新采样 wall clock，并记录 DB wait","极端锁等待下安全预算不失真；DB wait 被记录","Phase 2","phase2 JSON 的 lease_clock_sampling 段","pending","TBD"
"OPS-11","Phase 2","M-13","fence 失败不留下引用不明 orphan","commit intent/reservation 先验证；失败 artifact 落 staging 并快速 GC；记录 orphan reason 与字节数","membership fence 失败场景下 orphan 可查询且被回收","Phase 2","phase2 JSON 的 orphan_accounting 段","pending","TBD"
"OPS-12","Phase 2","M-14 / A-09 / D-04","mode x guarantee 矩阵与 fragment 边界","新增 docs/guarantees.md，每格 guaranteed/best effort/experimental/unsupported 并链接不变量与测试；README 顶层标注 fragment experimental","矩阵每格有对应 artifact；README 与矩阵一致","Phase 2","docs/guarantees.md 与 phase2 JSON 的 guarantee_matrix 段","pending","TBD"
"OPS-13","Phase 2","M-15","环境与数据身份冻结","记录依赖 lock hash、容器/镜像 digest、CUDA/PyTorch 版本、dataset revision、tokenizer hash、driver/runtime 到 run descriptor","任一身份变化被检出并 fail closed","Phase 2","phase2 JSON 的 environment_identity 段","pending","TBD"
"OPS-14","Phase 2","A-07","artifact 分类 manifest 与 manifest 驱动 cleaner","authority/audit/telemetry/cache/payload 五类 manifest；cleaner 只按 policy 工作","cleaner 对 authority/audit 删除数严格为 0；未知类别 fail closed","Phase 2","phase2 JSON 的 artifact_manifest 段","pending","TBD"
"OPS-15","Phase 2","M-02","streaming 语义与命名对齐","实现 bounded shuffle buffer + 在线 packing，或改名为 dataset_iterable_but_materialized 并记录内存行为","大型/无限 iterable dataset 的内存行为与命名一致","Phase 2","phase2 JSON 的 dataset_streaming 段","pending","TBD"
"OPS-16","Phase 2","D-01～D-06","文档修正与威胁模型","修正 immutable 表述、token 指标语义、三证据域划分、fragment 边界、matched 公式披露；新增 docs/08-threat-model.md","文档声明与实现/证据一致；checker 缺 eval metric 时不得输出笼统 overall PASS","Phase 2","docs 变更与 phase2 JSON 的 doc_sync 段","pending","TBD"
"ARC-01","Phase 3","A-06","建立 ports 与 adapters","AuthorityStore/ImmutableObjectStore/Scheduler/Clock/AuditSink/TelemetrySink 及其 SQLite/POSIX/PBS/JSONL/W&B adapter","每个 port 至少一个 in-memory 实现并跑通协议测试","Phase 3","phase3 JSON 的 ports_adapters 段","pending","TBD"
"ARC-02","Phase 3","A-05","协议对象改为版本化 dataclass 与 tagged union","Proposal / LaunchState / TerminalState / ReadResult 类型化；DB row 映射只在 adapter 层","非法状态在边界即失败；adapter 边界测试","Phase 3","phase3 JSON 的 typed_protocol 段","pending","TBD"
"ARC-03","Phase 3","A-01","God module 分解","按 use case 拆分 application/ 与 domain/；syncer/learner/fenced_store 不再跨层承担职责","同 fault tape 下 event lineage 差异条目为 0","Phase 3","phase3 JSON 的 module_decomposition 段","pending","TBD"
"ARC-04","Phase 3","A-02","依赖方向单向","domain/core 不依赖 runtime/storage adapter；config 的 strategy 约束改为纯数据规则或窄接口 registry","CI 分层检查无违规 import","Phase 3","phase3 JSON 的 dependency_direction 段","pending","TBD"
"ARC-05","Phase 3","A-03","mutation 只经 FencedTransaction capability","raw connection 不暴露给 application；read model 与 write command store 分离；CI 枚举 public mutator 并要求 fencing 分类","未分类公开 mutator 数为 0；raw escape 覆盖测试","Phase 3","phase3 JSON 的 mutator_classification 段","pending","TBD"
"ARC-06","Phase 3","A-04","full/fragment 协议显式命名与共享抽象","FullProtocolV1 与 FragmentProtocolExperimentalV0；抽象 proposal/version coordinate/publication transaction/latest view/terminal state","共享抽象不改变现有行为；fragment version-vector 明确为后续 plan","Phase 3","phase3 JSON 的 protocol_naming 段","pending","TBD"
"ARC-07","Phase 3","A-08","生成式状态机与 metamorphic 验证","Hypothesis RuleBasedStateMachine + 虚拟时钟 + in-memory adapters + crash point 枚举 + 重放/重复 ingest/顺序交换/失效读恢复","冻结样本预算内新反例数为 0；断言有界步 liveness","Phase 3","phase3 JSON 的 state_machine_coverage 段","pending","TBD"
"ARC-08","Phase 3","A-10","schema 与 command 版本治理","每个 authority schema 版本有显式 migration；command payload 带版本；mutation 经 command handler 产生可重放 audit event","read model 可按版本重建；audit event 可重放","Phase 3","phase3 JSON 的 command_versioning 段","pending","TBD"
"ARC-09","Phase 3","A-06","证明单 port 可替换","把 ImmutableObjectStore 替换为 in-memory 后完整跑通协议测试","仅替换一个 port 即可运行，为 Stage 1 transport 对照做准备","Phase 3","phase3 JSON 的 port_swap_demo 段","pending","TBD"
